"","new_domain","",""
"334","Mathematics, Natural- and Engineering Sciences","Theoretical Physics","Mathematics, Natural- and Engineering Sciences"
"335","Biology and Medicine","Pharmacology, Pharmacy","Biology and Medicine"
"336","Humanities and Social Sciences","Psychology","Humanities and Social Sciences"
"337","Humanities and Social Sciences","Architecture and Social urban science","Humanities and Social Sciences"
"338","Humanities and Social Sciences","German and English languages and literature","Humanities and Social Sciences"
"339","Mathematics, Natural- and Engineering Sciences","Organic Chemistry","Mathematics, Natural- and Engineering Sciences"
"340","Mathematics, Natural- and Engineering Sciences","Geophysics","Mathematics, Natural- and Engineering Sciences"
"341","Humanities and Social Sciences","Legal sciences","Humanities and Social Sciences"
"342","Mathematics, Natural- and Engineering Sciences","Meteorology","Mathematics, Natural- and Engineering Sciences"
"343","Biology and Medicine","Neurophysiology and Brain Research","Biology and Medicine"
"344","Biology and Medicine","Medical Microbiology","Biology and Medicine"
"345","Humanities and Social Sciences","Education and learning sciences, subject-specific education","Humanities and Social Sciences"
"346","Mathematics, Natural- and Engineering Sciences","Material Sciences","Mathematics, Natural- and Engineering Sciences"
"347","Biology and Medicine","Molecular Biology","Biology and Medicine"
"348","Biology and Medicine","Immunology, Immunopathology","Biology and Medicine"
"349","Humanities and Social Sciences","Architecture and Social urban science","Humanities and Social Sciences"
"350","Biology and Medicine","Genetics","Biology and Medicine"
"351","Mathematics, Natural- and Engineering Sciences","Information Technology","Mathematics, Natural- and Engineering Sciences"
"352","Biology and Medicine","Zoology","Mathematics, Natural- and Engineering Sciences"
"353","Mathematics, Natural- and Engineering Sciences","Information Technology","Mathematics, Natural- and Engineering Sciences"
"354","Biology and Medicine","Methods of Epidemiology and Preventive Medicine","Biology and Medicine"
"355","Mathematics, Natural- and Engineering Sciences","Information Technology","Mathematics, Natural- and Engineering Sciences"
"356","Biology and Medicine","Cardiovascular Research","Biology and Medicine"
"357","Humanities and Social Sciences","Science of management","Humanities and Social Sciences"
"358","Humanities and Social Sciences","Ethnology","Humanities and Social Sciences"
"359","Humanities and Social Sciences","Architecture and Social urban science","Humanities and Social Sciences"
"360","Mathematics, Natural- and Engineering Sciences","Mechanical Engineering","Mathematics, Natural- and Engineering Sciences"
"361","Mathematics, Natural- and Engineering Sciences","Other disciplines of Engineering Sciences","Mathematics, Natural- and Engineering Sciences"
