"","id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","ipaddr","refurl","transdisciplinaryExp.rate.","age","academicAge","familiarWithSI.response.","projectReference","projectReferenceNo","contribToSI.rate.","motivation.pheno.","motivation.prob.","motivation.welfare.","benefitForNonAcademy","impulseForNonAcad.soc.","impulseForNonAcad.econ.","impulseForNonAcad.ecol.","impulseForNonAcad.health.","impulseForNonAcad.tech.","impulseForNonAcad.other.","groupsInvolved.res.","groupsInvolved.busi.","groupsInvolved.civsoc.","groupsInvolved.policy.","groupsInvolved.citiz.","groupsInvolved.media.","groupsInvolved.welfare.","natureOfInvolvement.res.","natureOfInvolvement.busi.","natureOfInvolvement.civsoc.","natureOfInvolvement.policy.","natureOfInvolvement.citiz.","natureOfInvolvement.media.","natureOfInvolvement.welfare.","targetGroupsGoals.socneeds.","targetGroupsGoals.socgroups.","targetGroupsGoals.improve.","targetGroupsGoals.empower.","targetGroupsGoals.diversity.","concepts.pub.","concepts.data.","concepts.code.","concepts.infra.","concepts.review.","concepts2","concepts3","impactTargetGroup.pub.","impactTargetGroup.busi.","impactTargetGroup.socgr.","impactTargetGroup.welfare.","impactTargetGroup.civsoc.","impactTargetGroup.policy.","impactTargetGroup.acad.","kindOfChange.pub.","kindOfChange.busi.","kindOfChange.socgr.","kindOfChange.welfare.","kindOfChange.civsoc.","kindOfChange.policy.","kindOfChange.acad.","kindOfChangeOther","adoptByPolicy.rate.","adoptByPolicyHow.SQ001.","adoptByPolicyHow.SQ002.","adoptByPolicyHow.SQ003.","adoptByPolicyHow.other.","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","dissChannels.peer.","dissChannels.mono.","dissChannels.conf.","dissChannels.policy.","dissChannels.trad.","dissChannels.prof.","dissChannels.web.","dissChannels.socmed.","dissChannels.platf.","dissChannels.consult.","dissChannels.events.","dissChannels.public.","scalabilityRating.up.","scalabilityRating.out.","scalabilityRating.deep.","interestInSummary","SIthroughSNSF","resultsHighlight","feedback","thankYou"
"85",102,"2021-09-27 18:15:42",9,"en",2050481028,"daMqH0Sd2z6FuGm","2021-09-27 17:50:40","2021-09-27 18:15:42","84.73.165.197","","0..not experienced at all","60 to 69","> 15 years","0..not at all","Yes",NA,"","10..fully","10..fully","0..not at all","no","No","No","No","No","No","knowledge","quite centrally","no","no","no","no","only marginally","only marginally","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","yes","","","yes","yes","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","10..to a high degree","","","","","","","changing understanding","","Not applicable","N/A","N/A","N/A","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","10..full extent","yes","yes","yes","no","yes","no","yes","no","no","no","no","yes","","","","yes","","","",NA
"86",103,"2021-09-27 19:51:15",9,"en",1861683987,"d7XC8ErV52VOAZQ","2021-09-27 19:42:27","2021-09-27 19:51:15","130.82.67.87","","3","60 to 69","> 15 years","4","Yes",NA,"","10..fully","8","7","to a minor extent","No","Yes","No","No","No","","no","no","no","only marginally","no","only marginally","no","","","","consultative (provide information via interviews, online questionnaires, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","","false","false","true","false","false","yes","no","no","no","no","No","Yes","2","3","0..not at all","0..not at all","0..not at all","8","8","","changing awareness","","","","changing behaviour","changing awareness","","3","No","Yes","No","","4","0..not at all","1","1","4","3","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","3","2","2","no","","","",NA
"87",104,"2021-09-27 20:21:43",9,"en",990471575,"LoEZ6SUFyLShy1q","2021-09-27 20:11:24","2021-09-27 20:21:43","129.194.145.104","","9","60 to 69","> 15 years","0..not at all","Yes",NA,"","10..fully","6","5","to a minor extent","No","Yes","Yes","No","No","","quite centrally","no","no","no","only marginally","only marginally","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","false","false","true","false","true","yes","yes","no","no","yes","No","No","5","2","0..not at all","0..not at all","0..not at all","6","10..to a high degree","changing awareness","","","","","changing behaviour","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","2","0..not at all","3","4","yes","yes","yes","no","yes","yes","yes","yes","no","no","no","no","9","8","1","yes","","","",NA
"88",105,"2021-09-27 21:26:44",9,"en",2103774691,"f5RE2KhbHKzC6lk","2021-09-27 21:16:16","2021-09-27 21:26:44","2a04:ee41:6:9567:487d:def:d2fa:c2cb","","1","40 to 49","> 15 years","0..not at all","Yes",NA,"","10..fully","4","8","to a minor extent","No","No","No","Yes","No","","only marginally","no","no","no","no","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","","","","false","false","true","false","false","yes","no","no","no","no","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","7","","","","","","","changing understanding","","Not applicable","N/A","N/A","N/A","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","9","yes","no","yes","no","no","no","no","no","no","no","no","no","","","","yes","","","",NA
"89",106,"2021-09-27 22:06:12",9,"en",1806442674,"Zbt6IrVA7UejD8S","2021-09-27 21:56:39","2021-09-27 22:06:12","194.51.205.221","","5","70 or older","> 15 years","0..not at all","Yes",NA,"","10..fully","7","2","no","No","No","No","No","No","","no","no","no","no","no","no","no","","","","","","","","","","","","","yes","yes","no","yes","yes","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","10..to a high degree","","","","","","","changing understanding","","Not applicable","N/A","N/A","N/A","","Not applicable","Not applicable","Not applicable","Not applicable","9","9","yes","yes","yes","no","no","no","yes","no","no","no","no","no","","","","no","","","Die Relevanz Ihrer Untersuchung für mein Projekt ist extrem niedrig.",NA
"90",107,"2021-09-27 22:52:38",9,"en",135179578,"Uv2JWy0UfnE5haB","2021-09-27 22:43:11","2021-09-27 22:52:38","2001:1715:4e22:3110:bc5b:6a7:a161:6c76","","9","50 to 59","> 15 years","5","Yes",NA,"7","10..fully","9","9","to a large extent","No","No","No","Yes","Yes","","quite centrally","only marginally","no","no","quite centrally","no","only marginally","co-created (collaborative + participated in designing study and/or determining objectives)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","collaborative (contributory + interpreting data and/or drawing conclusions)","true","true","true","true","true","yes","yes","yes","yes","no","Yes","No","7","3","8","1","1","2","4","changing behaviour","changing attitude","changing behaviour","","","","changing behaviour","","5","Yes","No","No","","8","8","8","8","6","7","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","6","6","5","yes","","","",NA
"91",108,"2021-09-27 23:07:30",9,"en",615040125,"ICtRWmNATvybNBD","2021-09-27 22:45:34","2021-09-27 23:07:30","178.197.226.198","","7","40 to 49","11-15 years","0..not at all","Yes",NA,"","4","4","4","to a large extent","No","No","No","No","No","theory - practice gap in education","only marginally","no","only marginally","only marginally","no","no","quite centrally","consultative (provide information via interviews, online questionnaires, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","","consultative (provide information via interviews, online questionnaires, etc.)","true","false","true","false","true","yes","no","no","no","yes","No","Yes","0..not at all","0..not at all","0..not at all","8","3","4","8","","","","changing attitude","changing behaviour","changing attitude","changing awareness","","4","No","No","No","","2","5","2","4","5","3","no","no","yes","no","yes","yes","yes","no","yes","no","yes","no","3","I don't know","7","yes","","","",NA
"92",109,"2021-10-04 17:46:29",9,"en",1077722511,"tTY2z7iULk6YnHm","2021-09-28 07:24:56","2021-10-04 17:46:29","188.62.158.232","","0..not experienced at all","60 to 69","> 15 years","0..not at all","Yes",NA,"","10..fully","10..fully","0..not at all","no","No","No","No","No","No","","no","no","no","no","no","no","no","","","","","","","","","","","","","yes","no","no","no","no","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","3","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","5","yes","yes","yes","no","no","no","yes","no","no","no","no","no","","","","no","","","",NA
"93",110,"2021-09-28 08:51:28",9,"en",1428659368,"FnApdstKLejNC6j","2021-09-28 08:46:20","2021-09-28 08:51:28","2001:620:610:500:302f:84d4:2f2e:9548","","2","40 to 49","> 15 years","2","Yes",NA,"","8","1","3","to a minor extent","Yes","No","No","No","No","","only marginally","no","quite centrally","quite centrally","no","no","only marginally","consultative (provide information via interviews, online questionnaires, etc.)","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","false","false","false","true","true","yes","yes","no","no","no","Yes","Yes","3","1","4","3","4","4","5","changing awareness","","changing awareness","changing awareness","changing attitude","changing attitude","changing understanding","","2","N/A","N/A","N/A","","3","3","3","2","3","7","yes","no","no","no","yes","no","no","","no","no","no","","4","1","4","yes","","","",NA
"94",111,"2021-10-07 10:01:58",9,"en",1739752239,"BLSDaI8i5z30f8W","2021-09-28 09:14:24","2021-10-07 10:01:58","153.109.180.149","","2","50 to 59","> 15 years","0..not at all","Yes",NA,"","4","8","7","to a large extent","No","No","No","No","Yes","","only marginally","no","no","no","no","no","no","co-created (collaborative + participated in designing study and/or determining objectives)","","","","","","","false","false","true","true","false","yes","yes","yes","yes","no","Yes","No","4","0..not at all","3","5","0..not at all","0..not at all","2","changing behaviour","","changing behaviour","changing behaviour","","","","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","4","yes","no","yes","no","no","no","yes","yes","no","no","no","no","7","8","3","no","","","",NA
"95",112,"2021-09-28 09:21:23",9,"en",73864182,"fHg0MzuDYCQN7QJ","2021-09-28 09:15:52","2021-09-28 09:21:23","46.140.3.196","","8","40 to 49","> 15 years","0..not at all","Yes",NA,"","0..not at all","9","9","to a large extent","No","No","No","Yes","Yes","","quite centrally","only marginally","no","no","no","only marginally","only marginally","co-created (collaborative + participated in designing study and/or determining objectives)","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","false","false","true","false","false","yes","yes","yes","yes","yes","No","No","5","2","0..not at all","0..not at all","0..not at all","0..not at all","5","changing understanding","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","4","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","yes","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","10..very highly scalable","5","6","yes","","","",NA
"96",113,"2021-09-28 09:53:17",9,"en",1923920781,"NyUzhilV2DFXOIH","2021-09-28 09:41:59","2021-09-28 09:53:17","2001:620:610:e04::cd","","3","50 to 59","> 15 years","0..not at all","Yes",NA,"","2","9","5","no","No","No","No","Yes","Yes","","no","no","no","no","no","no","no","","","","","","","","","","","","","yes","yes","yes","yes","no","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","10..to a high degree","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","8","no","no","no","no","no","no","yes","no","no","yes","no","no","","","","yes","","","",NA
"97",114,"2021-09-28 10:06:14",9,"en",1753215278,"93Z60KajRJYmEVA","2021-09-28 09:43:24","2021-09-28 10:06:14","134.21.71.107","","5","40 to 49","> 15 years","5","Yes",NA,"6","10..fully","10..fully","10..fully","to a large extent","Yes","No","No","No","No","","only marginally","","quite centrally","only marginally","quite centrally","only marginally","quite centrally","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","collaborative (contributory + interpreting data and/or drawing conclusions)","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","collaborative (contributory + interpreting data and/or drawing conclusions)","true","true","true","true","true","yes","yes","no","no","no","Yes","Yes","1","0..not at all","8","8","9","4","8","","","changing understanding","changing awareness","changing behaviour","changing understanding","changing understanding","","2","N/A","N/A","N/A","","1","1","8","1","6","7","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","no","4","4","4","yes","By developing co-financed projects between Universities and other institutions (NGOs, welfare institutions, etc.)","Above all, our project has made it possible to co-construct a common knowledge between researchers and practitioners on the issue of indebtedness in Switzerland. This has given visibility to the issue and has allowed NGOs in the field to rely on tangible results to gain recognition for the problem.","The contradictions between the different social policies that can generate debt and the limits of the prosecution system that makes it difficult for people in debt to get out of debt. These elements are more difficult to have recognized as they would require important political relays to be taken into account.",NA
"98",115,"2021-09-28 10:45:48",9,"en",1457406264,"u1ZV6MCP02YpdaF","2021-09-28 10:21:15","2021-09-28 10:45:48","130.92.90.211","","6","50 to 59","> 15 years","1","Yes",NA,"","10..fully","10..fully","10..fully","to a minor extent","No","No","No","Yes","No","","quite centrally","quite centrally","no","no","quite centrally","no","quite centrally","co-created (collaborative + participated in designing study and/or determining objectives)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","co-created (collaborative + participated in designing study and/or determining objectives)","true","true","true","true","true","yes","yes","no","no","no","No","No","10..to a high degree","10..to a high degree","1","2","1","1","10..to a high degree","changing awareness","changing awareness","","","","","changing awareness","","Not applicable","N/A","N/A","N/A","","10..full extent","2","2","1","3","3","yes","no","yes","no","no","yes","yes","no","yes","yes","yes","no","3","10..very highly scalable","3","yes","","We discovered the genetic defect for ~20 inherited diseases in domestic animals. Example: https://doi.org/10.1371/journal.pgen.1007264
This has potential impact in several areas:
(1) Development of genetic tests to eradicate a lethal disease from the dog population (--> animal welfare, business opportunity for commercial diagnostic laboratories)
(2) Improvement of the well being of the dogs' owners and breeders.
(3) Advance in basic knowledge on the function of genes, similar diseases might also affect human patients (rare diseases)","",NA
"99",116,"2021-09-28 11:15:06",9,"en",1503761342,"HV5cidqK3R2M4y8","2021-09-28 11:07:31","2021-09-28 11:15:06","2001:67c:10ec:5789:8000::10c1","","0..not experienced at all","40 to 49","> 15 years","0..not at all","Yes",NA,"","10..fully","10..fully","0..not at all","no","No","No","No","No","Yes","","no","no","no","no","no","no","no","","","","","","","","","","","","","yes","yes","no","no","no","No","No","0..not at all","1","0..not at all","0..not at all","0..not at all","0..not at all","8","","","","","","","changing understanding","","Not applicable","N/A","N/A","N/A","","Not applicable","0..not at all","Not applicable","Not applicable","Not applicable","7","yes","no","yes","no","no","no","no","no","no","no","no","no","","","","no","","","",NA
"100",117,"2021-09-28 11:23:55",9,"en",1193387308,"XpO65zKKq9MqimC","2021-09-28 11:11:55","2021-09-28 11:23:55","134.21.6.194","","7","40 to 49","11-15 years","6","Yes",NA,"7","9","8","8","to a large extent","Yes","No","No","Yes","No","","only marginally","no","no","quite centrally","no","quite centrally","quite centrally","collaborative (contributory + interpreting data and/or drawing conclusions)","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","collaborative (contributory + interpreting data and/or drawing conclusions)","true","true","true","true","true","yes","no","no","no","no","Yes","Yes","7","0..not at all","7","8","2","8","9","changing awareness","","changing awareness","changing behaviour","","changing behaviour","changing behaviour","","6","No","No","No","Awareness, discussions","4","5","6","6","8","8","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","7","8","7","yes","","","",NA
"101",118,"2021-09-28 11:20:11",9,"en",664709918,"vupwJZ0l28EPur5","2021-09-28 11:13:44","2021-09-28 11:20:11","2a02:aa13:6142:8800:cccc:2164:549d:ba31","","10..highly experienced","60 to 69","> 15 years","4","Yes",NA,"","10..fully","3","8","no","Yes","No","No","No","No","","only marginally","no","no","no","no","no","no","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","","","","","","","yes","no","no","no","no","Yes","No","2","0..not at all","2","0..not at all","2","2","2","","","","","","","","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","3","1","8","7","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","yes","","","",NA
"102",119,"2021-09-28 11:49:26",9,"en",1940670167,"NpRBz0T3ggZGXBU","2021-09-28 11:16:01","2021-09-28 11:49:26","129.194.153.23","","8","50 to 59","> 15 years","3","Yes",NA,"","8","8","7","to a minor extent","No","No","No","Yes","No","","quite centrally","quite centrally","","no","no","no","no","consultative (provide information via interviews, online questionnaires, etc.)","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","","","false","false","true","false","false","yes","yes","no","no","no","N/A","N/A","5","7","0..not at all","6","0..not at all","0..not at all","7","changing awareness","","","changing awareness","","","changing awareness","","0..not at all","N/A","N/A","N/A","","7","7","7","0..not at all","6","7","yes","no","yes","no","yes","yes","yes","no","no","no","no","yes","8","8","8","yes","","We could show the value of using in vitro developed tissue culture models to better understand viral pathogenesis in absence of animal experimentation. ","By starting to use these in vitro models, we also helped the Epithelix company to become popular among the virology community and now they have developed antiviral testing on their in vitro models as a service that is widely used by researchers and companies. This should overall decrease animal experimentation.",NA
"103",120,"2021-09-28 12:57:00",9,"en",161066856,"mQosbaZDDsCQ4Nv","2021-09-28 12:47:37","2021-09-28 12:57:00","130.223.153.104","","3","40 to 49","11-15 years","2","Yes",NA,"","10..fully","1","1","no","No","No","No","No","No","","quite centrally","no","no","no","no","only marginally","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","","yes","yes","yes","no","no","No","No","1","1","0..not at all","6","1","0..not at all","10..to a high degree","","","","changing awareness","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","1","Not applicable","yes","no","no","no","yes","yes","yes","yes","yes","yes","no","no","I don't know","I don't know","0..not scalable at all","no","","","",NA
"104",121,"2021-09-28 13:37:13",9,"en",144561041,"ToCDX9bXL2W74M0","2021-09-28 13:26:17","2021-09-28 13:37:13","129.194.143.157","","2","60 to 69","> 15 years","1","Yes",NA,"","10..fully","10..fully","5","to a minor extent","No","No","No","No","Yes","","quite centrally","no","no","only marginally","no","only marginally","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","consultative (provide information via interviews, online questionnaires, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","","false","false","true","false","false","yes","yes","yes","no","no","No","No","0..not at all","2","0..not at all","0..not at all","0..not at all","0..not at all","7","","","","","","","changing understanding","","2","N/A","N/A","N/A","","Not applicable","7","0..not at all","0..not at all","7","10..full extent","yes","yes","yes","no","yes","yes","yes","no","no","no","no","no","","","","no","","","",NA
"105",122,"2021-10-15 08:30:42",9,"en",1247352407,"zlXXQx7noKrvGoT","2021-09-28 17:02:23","2021-10-15 08:30:42","178.199.12.38","","10..highly experienced","50 to 59","> 15 years","10..fully","Yes",NA,"7","10..fully","10..fully","4","to a minor extent","Yes","No","No","No","No","","only marginally","no","no","quite centrally","no","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","true","false","true","false","true","yes","no","no","no","yes","Yes","Yes","0..not at all","0..not at all","10..to a high degree","0..not at all","0..not at all","7","10..to a high degree","","","changing behaviour","","","changing behaviour","changing behaviour","","2","N/A","N/A","N/A","","0..not at all","2","10..full extent","0..not at all","9","8","yes","","yes","yes","","","yes","yes","yes","no","yes","","2","2","7","yes","","","",NA
"106",123,"2021-09-28 20:56:34",9,"en",1878536372,"zLQlutlkggej2OB","2021-09-28 20:41:38","2021-09-28 20:56:34","87.102.186.58","","7","60 to 69","> 15 years","7","Yes",NA,"3","7","1","2","to a minor extent","No","No","No","No","No","cultural understanding to learn from Homeric society","quite centrally","no","no","no","quite centrally","only marginally","no","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","false","false","true","false","false","no","","","","","Yes","No","0..not at all","0..not at all","0..not at all","3","","0..not at all","7","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","2","0..not at all","1","3","yes","yes","yes","no","yes","no","yes","yes","no","no","no","no","","","","yes","","","",NA
"107",124,"2021-09-28 21:18:11",9,"en",461076902,"zzf1a4aHHip9PGe","2021-09-28 20:58:45","2021-09-28 21:18:11","2001:1713:ea74:e270:9451:224a:ee8c:dd49","","8","70 or older","> 15 years","8","Yes",NA,"7","9","8","10..fully","to a large extent","Yes","No","No","No","No","Existential and spiritual problem: selfunderstanding","quite centrally","no","only marginally","no","only marginally","only marginally","quite centrally","collaborative (contributory + interpreting data and/or drawing conclusions)","","consultative (provide information via interviews, online questionnaires, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","false","false","true","true","true","yes","yes","yes","no","no","No","No","5","0..not at all","6","6","4","0..not at all","6","changing awareness","","changing awareness","changing awareness","changing understanding","","changing attitude","","0..not at all","N/A","N/A","N/A","","6","4","8","4","6","8","yes","yes","yes","no","no","yes","no","no","no","no","yes","no","6","5","5","yes","","","",NA
"108",125,"2021-09-28 23:13:05",9,"en",1065926785,"GCMo0cH8GNAa6I1","2021-09-28 23:01:26","2021-09-28 23:13:05","145.14.208.28","","5","60 to 69","> 15 years","4","Yes",NA,"","8","4","2","no","No","No","No","Yes","Yes","","quite centrally","no","no","no","quite centrally","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","","","","","yes","yes","yes","no","yes","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","8","","","","","","","changing behaviour","","0..not at all","N/A","N/A","N/A","","6","3","0..not at all","0..not at all","4","4","yes","yes","yes","no","yes","yes","yes","no","no","no","no","no","","","","yes","","","",NA
"109",126,"2021-09-29 10:39:07",9,"en",22068161,"T5v6qkTrVhVoNAr","2021-09-29 10:23:07","2021-09-29 10:39:07","188.62.123.252","","0..not experienced at all","50 to 59","> 15 years","3","Yes",NA,"","10..fully","","5","no","Yes","No","Yes","Yes","No","","no","no","only marginally","quite centrally","no","no","no","","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","","","","yes","yes","","","","Yes","Yes","0..not at all","0..not at all","0..not at all","2","","8","5","","","","","","changing understanding","changing understanding","","3","Yes","No","No","","5","3","10..full extent","3","7","4","yes","yes","yes","no","no","no","yes","no","no","no","no","no","7","5","5","yes","","","The project finished in 2017 but I am still publishing on the issue on animal health professionals.
The social sciences and political science perspective on the one health governance, especially in the case of antimicrobial resistance (AMR), is gaining more and more attention.
The results show that a top-down, formal approach to AMR is not sufficient to achieve the policy targets.",NA
"110",127,"2021-09-29 10:54:44",9,"en",1327636283,"VEl27TC0i2cX8IQ","2021-09-29 10:38:23","2021-09-29 10:54:44","77.58.165.64","","7","70 or older","> 15 years","0..not at all","Yes",NA,"","6","2","7","to a minor extent","Yes","No","No","No","No","","quite centrally","","","","","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","","","","true","","","true","","yes","","","yes","","Yes","N/A","3","","","","","","8","changing understanding","","","","","","changing understanding","","1","N/A","N/A","N/A","","5","6","2","","5","3","yes","yes","yes","","","","","","","","","","","","","yes","","The project included several monographs and articles by the project leader as well as dissartations and habilitations. 
So the project hopefully contributed to a broader understandung and further distributing of the subjects treated during the development of the project,","",NA
"111",128,"2021-09-29 13:02:41",9,"en",1263430463,"Q06hO2fzUaRzPHG","2021-09-29 12:25:00","2021-09-29 13:02:41","162.23.111.49","","4","50 to 59","> 15 years","3","Yes",NA,"","8","5","3","to a minor extent","No","No","Yes","No","No","","quite centrally","no","no","only marginally","no","only marginally","no","co-created (collaborative + participated in designing study and/or determining objectives)","","","consultative (provide information via interviews, online questionnaires, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","","false","false","true","false","true","yes","yes","no","yes","yes","No","Yes","2","3","0..not at all","0..not at all","0..not at all","8","10..to a high degree","","changing behaviour","","","","changing awareness","changing understanding","","2","N/A","N/A","N/A","","2","0..not at all","0..not at all","0..not at all","4","6","yes","yes","yes","no","yes","no","yes","no","yes","no","no","no","5","8","I don't know","no","","","",NA
"112",129,"2021-09-29 14:29:44",9,"en",721216030,"YC3XUo4tCw6dGh9","2021-09-29 14:14:56","2021-09-29 14:29:44","130.60.130.90","","7","50 to 59","> 15 years","7","Yes",NA,"3","9","6","8","to a large extent","Yes","No","No","No","No","","quite centrally","only marginally","quite centrally","quite centrally","only marginally","quite centrally","quite centrally","collaborative (contributory + interpreting data and/or drawing conclusions)","consultative (provide information via interviews, online questionnaires, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","false","false","true","true","true","yes","yes","no","yes","no","Yes","Yes","7","6","7","7","7","8","7","changing awareness","changing awareness","changing attitude","changing attitude","changing attitude","changing behaviour","changing attitude","","8","Yes","No","Yes","changes in behaviour of public administrationsenation ","7","5","7","7","4","6","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","no","8","8","6","yes","","","",NA
"113",130,"2021-09-29 21:41:37",9,"en",935039527,"rY67HSDSZNBpE5i","2021-09-29 21:31:27","2021-09-29 21:41:37","178.83.18.3","","2","50 to 59","> 15 years","1","Yes",NA,"","8","8","7","to a minor extent","No","No","No","Yes","No","","only marginally","no","no","only marginally","no","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","false","false","true","true","false","yes","yes","no","no","no","Yes","Yes","2","1","2","0..not at all","0..not at all","1","8","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","1","0..not at all","1","0..not at all","1","3","yes","no","yes","no","yes","yes","yes","yes","no","no","no","no","","","","yes","","","",NA
"114",131,"2021-09-29 23:35:21",9,"en",810493762,"nJxPqFdzJzfclgI","2021-09-29 23:15:08","2021-09-29 23:35:21","145.40.195.238","","10..highly experienced","40 to 49","> 15 years","4","Yes",NA,"","10..fully","10..fully","8","to a minor extent","Yes","No","No","Yes","Yes","","quite centrally","no","no","only marginally","quite centrally","no","only marginally","collaborative (contributory + interpreting data and/or drawing conclusions)","","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","consultative (provide information via interviews, online questionnaires, etc.)","true","true","true","true","true","yes","yes","yes","yes","no","Yes","Yes","6","7","8","7","0..not at all","0..not at all","10..to a high degree","changing understanding","changing awareness","changing behaviour","changing understanding","","","changing understanding","","1","N/A","N/A","N/A","","10..full extent","6","10..full extent","8","8","10..full extent","yes","no","yes","no","no","no","yes","yes","no","yes","yes","yes","7","7","7","yes","","A talk presenting the results directly from this project to was delivered to a mixed professional audience at the 'world usability day' was recorded and can be seen here 
https://www.youtube.com/watch?v=R5HgOA03qec&t=6s","This project led to a fairly large follow up project with another Swiss grant agency (Innosuisse) which is still active. In this followup project we work with a very successful young science startup called Altoida and with Hirslanden Clinic, developing tools to predict, prevent and rehabilitate age-related cognitive / brain health issues. It further expanded to a small collaboration with Brazil, where we are planning to gather data from socio-economically under-priviliged groups, and their access to age-related brain health awareness and solutions.",NA
